#module: 33
modularity: 0.7625779
No	ID	No. module	Zi	Pi
1	"OTU_1"	4	2.3369675485198	0
2	"OTU_2"	10	1	0
3	"OTU_3"	16	0	0
4	"OTU_4"	11	1	0
5	"OTU_5"	4	0.572786163852892	0
6	"OTU_6"	13	0	0
7	"OTU_7"	7	-1.33630620956212	0.5
8	"OTU_12"	16	0	0
9	"OTU_13"	0	1.48209654526671	0
10	"OTU_14"	1	2.27362730180033	0
11	"OTU_15"	11	-1	0
12	"OTU_19"	13	0	0
13	"OTU_21"	1	4.6461079645485	0.235537190082645
14	"OTU_23"	0	-0.411693484796309	0
15	"OTU_25"	2	-0.822777183390575	0
16	"OTU_26"	0	-0.72732515647348	0
17	"OTU_31"	0	0.535201530235202	0
18	"OTU_32"	1	0.197706721895681	0
19	"OTU_35"	0	4.00714991868408	0.197530864197531
20	"OTU_36"	2	-0.822777183390575	0
21	"OTU_38"	3	0	0
22	"OTU_39"	8	-1	0
23	"OTU_40"	0	-0.0960618131191388	0
24	"OTU_41"	0	-0.0960618131191388	0
25	"OTU_42"	7	0.267261241912425	0
26	"OTU_43"	0	-0.0960618131191388	0
27	"OTU_44"	8	-1	0
28	"OTU_45"	18	0	0
29	"OTU_47"	6	0.917662935482247	0
30	"OTU_49"	1	-0.0988533609478406	0
31	"OTU_50"	4	0.824812075948165	0
32	"OTU_53"	6	0.917662935482247	0
33	"OTU_55"	2	-0.0863052989570533	0
34	"OTU_58"	6	0.114707866935281	0.375
35	"OTU_59"	2	0.466048614368088	0
36	"OTU_61"	6	0.917662935482247	0.32
37	"OTU_70"	1	-0.395413443791362	0
38	"OTU_72"	1	-0.691973526634884	0
39	"OTU_73"	0	-0.0960618131191388	0
40	"OTU_75"	6	0.114707866935281	0
41	"OTU_80"	15	0	0
42	"OTU_81"	1	-0.0988533609478406	0.375
43	"OTU_87"	15	0	0
44	"OTU_88"	0	-0.0960618131191388	0
45	"OTU_89"	2	1.57075644101837	0.21875
46	"OTU_96"	1	-0.395413443791362	0
47	"OTU_97"	8	1	0
48	"OTU_98"	2	1.38663846990999	0
49	"OTU_102"	1	2.86674746748737	0
50	"OTU_106"	0	0.850833201912372	0
51	"OTU_108"	1	0.494266804739203	0
52	"OTU_110"	2	1.75487441212675	0
53	"OTU_111"	3	0	0
54	"OTU_112"	2	2.49134629656027	0
55	"OTU_115"	3	1.61245154965971	0.32
56	"OTU_117"	2	3.04370020988541	0
57	"OTU_120"	0	-0.0960618131191388	0
58	"OTU_121"	2	1.93899238323513	0.110726643598616
59	"OTU_123"	0	-0.72732515647348	0
60	"OTU_126"	1	0.790826887582724	0.244897959183674
61	"OTU_128"	0	2.11335988862105	0.378698224852071
62	"OTU_131"	0	2.42899156029822	0
63	"OTU_135"	4	0.068734339662347	0
64	"OTU_136"	2	0.834284556584848	0
65	"OTU_137"	14	0	0
66	"OTU_138"	2	-0.638659212282194	0
67	"OTU_139"	1	-0.395413443791362	0
68	"OTU_140"	1	-0.0988533609478406	0.56
69	"OTU_141"	2	3.59605412321055	0
70	"OTU_143"	2	0.650166585476468	0
71	"OTU_144"	1	-0.691973526634884	0
72	"OTU_147"	0	-0.72732515647348	0
73	"OTU_148"	3	-0.806225774829855	0
74	"OTU_150"	16	0	0
75	"OTU_151"	29	0	0
76	"OTU_161"	1	-0.691973526634884	0
77	"OTU_167"	0	1.16646487358954	0.528925619834711
78	"OTU_170"	3	0	0.444444444444444
79	"OTU_175"	1	-0.691973526634884	0
80	"OTU_176"	3	2.41867732448957	0
81	"OTU_180"	1	1.08738697042625	0.345679012345679
82	"OTU_185"	2	1.01840252769323	0
83	"OTU_187"	1	2.27362730180033	0
84	"OTU_188"	4	-0.939369308718743	0
85	"OTU_189"	2	0.650166585476468	0
86	"OTU_190"	1	-0.395413443791362	0
87	"OTU_202"	0	1.79772821694388	0.18
88	"OTU_204"	4	-1.19139522081402	0
89	"OTU_205"	2	-0.454541241173814	0
90	"OTU_207"	1	-0.0988533609478406	0
91	"OTU_208"	2	-0.638659212282194	0
92	"OTU_210"	30	0	0
93	"OTU_211"	3	-0.806225774829855	0
94	"OTU_214"	0	0.535201530235202	0
95	"OTU_215"	1	0.494266804739203	0
96	"OTU_216"	9	0	0
97	"OTU_221"	1	-0.691973526634884	0
98	"OTU_223"	1	0.197706721895681	0.32
99	"OTU_225"	4	-0.435317484528198	0
100	"OTU_232"	1	-0.0988533609478406	0
101	"OTU_234"	12	-0.577350269189626	0
102	"OTU_238"	2	1.01840252769323	0
103	"OTU_240"	2	0.834284556584848	0
104	"OTU_244"	2	0.0978126721513271	0
105	"OTU_245"	1	0.197706721895681	0
106	"OTU_264"	3	-0.806225774829855	0
107	"OTU_269"	1	-0.691973526634884	0
108	"OTU_276"	2	-0.822777183390575	0
109	"OTU_279"	8	1	0
110	"OTU_285"	3	0	0.444444444444444
111	"OTU_287"	1	-0.0988533609478406	0
112	"OTU_292"	1	-0.395413443791362	0
113	"OTU_297"	1	-0.691973526634884	0
114	"OTU_299"	2	-0.638659212282194	0.444444444444444
115	"OTU_301"	1	-0.395413443791362	0
116	"OTU_302"	1	-0.691973526634884	0
117	"OTU_321"	0	-0.411693484796309	0
118	"OTU_329"	4	-0.687343396623471	0
119	"OTU_348"	0	0.219569858558032	0
120	"OTU_360"	0	-0.72732515647348	0
121	"OTU_363"	0	-0.72732515647348	0
122	"OTU_374"	32	0	0
123	"OTU_376"	3	-0.806225774829855	0
124	"OTU_378"	2	-0.822777183390575	0
125	"OTU_382"	2	0.0978126721513271	0
126	"OTU_386"	1	-0.691973526634884	0
127	"OTU_389"	1	-0.691973526634884	0
128	"OTU_422"	0	-0.411693484796309	0
129	"OTU_423"	2	1.01840252769323	0
130	"OTU_440"	1	0.197706721895681	0
131	"OTU_462"	2	-0.822777183390575	0
132	"OTU_464"	2	-0.0863052989570533	0
133	"OTU_475"	2	-0.822777183390575	0
134	"OTU_478"	29	0	0
135	"OTU_480"	0	-0.72732515647348	0
136	"OTU_487"	2	0.281930643259707	0
137	"OTU_492"	2	-0.822777183390575	0
138	"OTU_503"	12	1.73205080756888	0
139	"OTU_514"	2	-0.0863052989570533	0
140	"OTU_529"	2	-0.270423270065434	0
141	"OTU_550"	2	-0.822777183390575	0
142	"OTU_560"	9	-0.866025403784439	0
143	"OTU_576"	2	-0.822777183390575	0
144	"OTU_579"	28	0	0
145	"OTU_594"	0	-0.72732515647348	0
146	"OTU_597"	4	0.824812075948165	0
147	"OTU_600"	1	-0.395413443791362	0
148	"OTU_608"	3	-0.806225774829855	0
149	"OTU_612"	0	-0.411693484796309	0
150	"OTU_628"	1	-0.395413443791362	0
151	"OTU_651"	26	0	0
152	"OTU_660"	2	-0.822777183390575	0
153	"OTU_664"	1	-0.395413443791362	0
154	"OTU_674"	2	-0.638659212282194	0
155	"OTU_691"	25	0	0
156	"OTU_695"	1	1.08738697042625	0
157	"OTU_740"	0	-0.411693484796309	0
158	"OTU_750"	2	-0.270423270065434	0
159	"OTU_759"	2	-0.822777183390575	0
160	"OTU_785"	2	-0.822777183390575	0
161	"OTU_804"	5	1.75	0
162	"OTU_842"	9	-0.866025403784439	0
163	"OTU_868"	2	-0.822777183390575	0
164	"OTU_886"	2	-0.822777183390575	0
165	"OTU_888"	0	-0.0960618131191388	0
166	"OTU_913"	1	-0.691973526634884	0
167	"OTU_944"	4	-0.183291572432926	0
168	"OTU_985"	3	-0.806225774829855	0
169	"OTU_1020"	9	-0.866025403784439	0
170	"OTU_1022"	0	-0.0960618131191388	0
171	"OTU_1032"	24	0	0
172	"OTU_1046"	4	0.068734339662347	0
173	"OTU_1068"	2	-0.822777183390575	0
174	"OTU_1076"	23	0	0
175	"OTU_1103"	27	0	0
176	"OTU_1195"	3	0.806225774829855	0
177	"OTU_1249"	2	-0.822777183390575	0
178	"OTU_1251"	4	-1.19139522081402	0
179	"OTU_1325"	5	-0.75	0
180	"OTU_1326"	2	-0.270423270065434	0
181	"OTU_1338"	5	-0.75	0
182	"OTU_1360"	7	0.267261241912425	0
183	"OTU_1370"	0	0.535201530235202	0
184	"OTU_1469"	1	-0.691973526634884	0
185	"OTU_1488"	22	0	0
186	"OTU_1535"	21	0	0
187	"OTU_1580"	15	0	0
188	"OTU_1610"	1	-0.691973526634884	0
189	"OTU_1646"	2	-0.822777183390575	0
190	"OTU_1759"	21	0	0
191	"OTU_1802"	20	0	0
192	"OTU_1973"	0	-0.72732515647348	0
193	"OTU_2037"	24	0	0
194	"OTU_2269"	0	-0.72732515647348	0
195	"OTU_2293"	4	0.572786163852892	0
196	"OTU_2373"	5	-0.75	0
197	"OTU_2822"	0	-0.72732515647348	0
198	"OTU_2932"	22	0	0
199	"OTU_2953"	1	-0.395413443791362	0
200	"OTU_4247"	0	-0.72732515647348	0
201	"OTU_4781"	2	-0.822777183390575	0
202	"OTU_4888"	2	-0.454541241173814	0
203	"OTU_5678"	2	-0.638659212282194	0
204	"OTU_5730"	2	0.0978126721513271	0
205	"OTU_5766"	10	-1	0
206	"OTU_5881"	26	0	0
207	"OTU_5886"	4	0.32076025175762	0
208	"OTU_7456"	14	0	0
209	"OTU_7589"	23	0	0
210	"OTU_7983"	31	0	0
211	"OTU_8100"	4	-0.939369308718743	0
212	"OTU_8148"	11	1	0
213	"OTU_8325"	20	0	0
214	"OTU_8377"	1	-0.0988533609478406	0
215	"OTU_8428"	2	-0.270423270065434	0
216	"OTU_8598"	7	-1.33630620956212	0
217	"OTU_8849"	0	-0.72732515647348	0
218	"OTU_8875"	4	-1.19139522081402	0
219	"OTU_9957"	12	-0.577350269189626	0
220	"OTU_11423"	17	0	0
221	"OTU_11791"	4	0.572786163852892	0
222	"OTU_12094"	1	-0.395413443791362	0
223	"OTU_12417"	19	0	0
224	"OTU_12580"	14	0	0
225	"OTU_12734"	10	1	0
226	"OTU_13168"	1	-0.691973526634884	0
227	"OTU_13791"	2	-0.454541241173814	0
228	"OTU_14293"	18	0	0
229	"OTU_14351"	2	0.281930643259707	0
230	"OTU_14565"	2	-0.454541241173814	0
231	"OTU_14601"	4	-0.687343396623471	0
232	"OTU_14617"	10	-1	0
233	"OTU_14733"	0	-0.411693484796309	0
234	"OTU_14736"	4	1.58088981223398	0
235	"OTU_15934"	25	0	0
236	"OTU_16162"	13	0	0
237	"OTU_16473"	11	-1	0
238	"OTU_16676"	2	-0.822777183390575	0
239	"OTU_16896"	1	-0.395413443791362	0
240	"OTU_17207"	2	-0.454541241173814	0
241	"OTU_17530"	0	-0.72732515647348	0
242	"OTU_18617"	4	-0.687343396623471	0
243	"OTU_18671"	1	-0.0988533609478406	0.56
244	"OTU_18685"	0	-0.72732515647348	0
245	"OTU_18800"	1	-0.691973526634884	0
246	"OTU_18890"	6	-1.49120227015865	0
247	"OTU_19287"	2	0.0978126721513271	0
248	"OTU_19459"	1	-0.395413443791362	0
249	"OTU_19652"	19	0	0
250	"OTU_19766"	1	-0.691973526634884	0
251	"OTU_20178"	4	-1.19139522081402	0
252	"OTU_20668"	0	-0.72732515647348	0
253	"OTU_20797"	1	0.197706721895681	0.32
254	"OTU_20810"	0	0.850833201912372	0
255	"OTU_21239"	6	-1.49120227015865	0
256	"OTU_21262"	9	1.73205080756888	0.32
257	"OTU_21434"	1	0.494266804739203	0
258	"OTU_21522"	0	-0.411693484796309	0
259	"OTU_21739"	17	0	0
260	"OTU_21867"	32	0	0
261	"OTU_21915"	7	1.0690449676497	0
262	"OTU_21929"	1	-0.395413443791362	0
263	"OTU_22049"	12	-0.577350269189626	0
264	"OTU_22242"	9	0.866025403784439	0
265	"OTU_22338"	2	1.01840252769323	0
266	"OTU_22489"	31	0	0
267	"OTU_22506"	30	0	0
268	"OTU_22802"	17	0	0
269	"OTU_22899"	0	-0.72732515647348	0
270	"OTU_22981"	0	-0.0960618131191388	0
271	"OTU_23325"	28	0	0
272	"OTU_23377"	2	-0.822777183390575	0
273	"OTU_24085"	27	0	0
274	"OTU_24090"	4	1.58088981223398	0
275	"OTU_24435"	0	-0.72732515647348	0
276	"OTU_24474"	2	0.0978126721513271	0
277	"OTU_24581"	5	0.5	0
278	"OTU_24660"	1	-0.0988533609478406	0
279	"OTU_24748"	2	-0.0863052989570533	0
280	"OTU_25114"	0	-0.411693484796309	0
281	"OTU_25249"	2	-0.454541241173814	0
282	"OTU_25345"	2	-0.638659212282194	0
283	"OTU_25392"	7	1.0690449676497	0
284	"OTU_25972"	2	0.0978126721513271	0
